target,weight,source,type
267748,4,208090,Undirected
267776,2,208090,Undirected
267807,2,208090,Undirected
267912,4,208090,Undirected
282663,1,208090,Undirected
314897,1,208090,Undirected
361888,1,208090,Undirected
376554,1,208090,Undirected
376557,4,208090,Undirected
376564,2,208090,Undirected
376568,6,208090,Undirected
376755,6,208090,Undirected
428088,1,208090,Undirected
208116,4,208091,Undirected
208146,6,208091,Undirected
208168,1,208091,Undirected
208196,8,208091,Undirected
208205,1,208091,Undirected
208211,5,208091,Undirected
208294,7,208091,Undirected
208300,3,208091,Undirected
208311,1,208091,Undirected
208340,5,208091,Undirected
208413,1,208091,Undirected
208540,2,208091,Undirected
208612,1,208091,Undirected
208728,3,208091,Undirected
208823,2,208091,Undirected
208985,1,208091,Undirected
208987,1,208091,Undirected
209175,1,208091,Undirected
209362,1,208091,Undirected
209380,1,208091,Undirected
209572,1,208091,Undirected
209582,1,208091,Undirected
209639,1,208091,Undirected
209730,1,208091,Undirected
209747,1,208091,Undirected
209809,1,208091,Undirected
209936,1,208091,Undirected
208099,2,208092,Undirected
208119,1,208092,Undirected
208126,2,208092,Undirected
208134,1,208092,Undirected
208138,16,208092,Undirected
208164,3,208092,Undirected
208172,2,208092,Undirected
208173,1,208092,Undirected
208180,6,208092,Undirected
208182,1,208092,Undirected
208195,3,208092,Undirected
208198,9,208092,Undirected
208215,2,208092,Undirected
208237,1,208092,Undirected
208243,8,208092,Undirected
208312,1,208092,Undirected
208346,2,208092,Undirected
208389,1,208092,Undirected
208398,2,208092,Undirected
208415,1,208092,Undirected
208526,1,208092,Undirected
208695,1,208092,Undirected
208700,3,208092,Undirected
208709,2,208092,Undirected
208727,2,208092,Undirected
208772,2,208092,Undirected
208955,1,208092,Undirected
208956,1,208092,Undirected
209065,2,208092,Undirected
209837,1,208092,Undirected
209905,1,208092,Undirected
231508,1,208092,Undirected
208124,1,208094,Undirected
